panel_id,location,defect_type,cause,origin,uid
46832446869,E10,CC,Operator,Station 1,0001
46832446870,B2,CC,Machine,Station 2,0002
46832446871,A1,MS,Machine,Station 2,0003
46832446871,A2,MS,Machine,Station 2,0004
46832446872,C9,CC,Operator,Station 3,0005
46832446873,E8,CC,Operator,Station 1,0006
46832446874,E10,CC,Operator,Station 1,0007
46832446874,B2,CC,Operator,Station 3,0008
46832446875,A1,MS,Machine,Station 2,0009
46832446876,A2,MS,Machine,Station 2,0010
46832446877,C9,CC,Operator,Station 1,0011
46832446877,E8,CC,Operator,Station 1,0012
46832446877,E8,CC,,,0013
46832446878,C3,TD,Machine,Station 2,0014
46832446879,A2,CC,,,0015
46832446879,E8,CC,,,0016
46832446880,B8,TD,Machine,Station 2,0017
